object_id,rc_area,timeperiod,heat-days-score,land-surface-temperature,year,sum_aged_population,sum_young_population,sum_population,health_centres_count,workers-affected-pct,dtname,dtcode11,net_sown_area_in_hac,avg_electricity,avg_tele,rc_piped_hhds_pct,rc_nosanitation_hhds_pct,total_hhd,district,revenue_circle,women_sugar,men_sugar,women_bp,men_bp,pct_ncd,land-surface-temperature-raster
18-300-00101,1069,2021_04,0.5882352941176471,2,,17667.139999999898,34582.947,327337.7812499999,49,86.36,KOKRAJHAR,18-300,32583.05,6.103794428434198,2.0,0.9475377841818764,20.15682196605828,62460.0,KOKRAJHAR,Gossaigaon (Pt),2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00102,159,2021_04,0.0,2,,1154.7940000000017,2321.274999999994,56649.25039062498,21,86.36,KOKRAJHAR,18-300,2199.4,4.9428373291064,2.0,0.0396275014860313,14.543293045373488,5047.0,KOKRAJHAR,Bhowraguri,2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00103,304,2021_04,0.4,2,,7303.244999999995,14717.271999999995,199774.3453124999,28,86.36,KOKRAJHAR,18-300,18388.485,9.173704728370222,2.0,1.874890593561368,20.086808350100604,39760.0,KOKRAJHAR,Dotoma,2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00104,990,2021_04,0.6923076923076923,2,,18005.242000000086,38421.20899999997,338656.6437499998,32,86.36,KOKRAJHAR,18-300,21680.643,9.37156862745098,3.0,3.410775951557093,22.59285178777393,69360.0,KOKRAJHAR,Kokrajhar (Pt),2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00105,281,2021_04,0.3333333333333333,2,,3172.831999999995,8521.541999999994,112843.46953124995,12,86.36,KOKRAJHAR,18-300,554.41709,8.971087633242147,2.0,0.0,27.940760305631542,10601.0,KOKRAJHAR,Bagribari (Pt),2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00106,103,2021_04,0.0,2,,2372.978000000003,6395.560999999987,50522.11249999981,5,86.36,KOKRAJHAR,18-300,2400.48,7.29100930072339,2.0,0.1446779193937306,35.76989321391664,14515.0,KOKRAJHAR,Golokganj (Pt),2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00107,124,2021_04,0.5,2,,1075.9040000000095,2903.1239999999816,81949.5804687501,9,86.36,KOKRAJHAR,18-300,648.6179999999999,7.331983805668016,2.0,0.0,33.43653250773994,4199.0,KOKRAJHAR,Dhubri (Pt),2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-300-00108,101,2021_04,1.0,2,,5255.607999999949,13787.926999999969,114148.0523437499,7,86.36,KOKRAJHAR,18-300,228.37,18.543851818790447,3.0,16.362103325150635,8.705947333184557,8962.0,KOKRAJHAR,Chapar (Pt),2.86,4.06,5.34,4.78,4.26,LST_ASSAM_2021_04.tif
18-301-00109,213,2021_04,1.0,1,,5858.891999999993,15777.215000000084,194108.99374999944,16,78.55,DHUBRI,18-301,6212.055,5.354767053273049,3.0,0.0314527226263023,40.07863180656575,25435.0,DHUBRI,Bagribari (Pt),3.07,4.35,5.51,4.77,4.425,LST_ASSAM_2021_04.tif
18-301-00110,221,2021_04,0.0,1,,4202.420999999973,9833.893000000013,178004.2140624998,29,78.55,DHUBRI,18-301,5347.92,6.031057454997325,3.0,0.7335047720957526,11.849985329904555,57941.0,DHUBRI,Agamoni,3.07,4.35,5.51,4.77,4.425,LST_ASSAM_2021_04.tif
18-301-00111,199,2021_04,0.3333333333333333,1,,8265.258999999962,21871.59400000004,168868.1515624998,22,78.55,DHUBRI,18-301,10277.97,10.015998093994318,3.0,1.1079529851931595,23.50354552353388,56663.0,DHUBRI,Golokganj (Pt),3.07,4.35,5.51,4.77,4.425,LST_ASSAM_2021_04.tif
18-301-00112,357,2021_04,0.75,1,,13944.850000000091,36859.04500000004,401952.546875,32,78.55,DHUBRI,18-301,28563.09,7.015421644530468,3.0,1.998067059333912,34.38693936461323,119864.0,DHUBRI,Dhubri (Pt),3.07,4.35,5.51,4.77,4.425,LST_ASSAM_2021_04.tif
18-301-00113,295,2021_04,1.0,1,,7136.188000000082,19147.618999999948,324948.7249999996,39,78.55,DHUBRI,18-301,18953.918,8.902051750071829,2.0,2.110986158292349,25.764021700552657,59169.0,DHUBRI,Bilasipara (Pt),3.07,4.35,5.51,4.77,4.425,LST_ASSAM_2021_04.tif
18-301-00114,195,2021_04,1.0,1,,794.0159999999887,2092.57,67299.60078124981,12,78.55,DHUBRI,18-301,9102.73,8.651042758331586,2.0,1.2995179207713268,33.64336617061413,38168.0,DHUBRI,Chapar (Pt),3.07,4.35,5.51,4.77,4.425,LST_ASSAM_2021_04.tif
18-302-00115,487,2021_04,0.375,2,,12073.514000000085,29765.523999999976,221175.5093750004,36,87.33,GOALPARA,18-302,15535.59,8.098310528024053,2.0,0.6115581065614377,23.20675105485232,58539.0,GOALPARA,Lakhipur,2.98,3.82,3.28,3.47,3.3875,LST_ASSAM_2021_04.tif
18-302-00116,541,2021_04,0.375,2,,8367.95299999998,21156.415,312410.40625,43,87.33,GOALPARA,18-302,13337.44,8.84951089267993,2.0,1.5537228864420394,34.69191594600129,63483.0,GOALPARA,Balijana,2.98,3.82,3.28,3.47,3.3875,LST_ASSAM_2021_04.tif
