object_id,heat-days-score,timeperiod
18-300-00101,32.470588235294116,2025_06
18-300-00102,27.0,2025_06
18-300-00103,31.4,2025_06
18-300-00104,33.92307692307692,2025_06
18-300-00105,23.833333333333332,2025_06
18-300-00106,,2025_06
18-300-00107,26.0,2025_06
18-300-00108,26.0,2025_06
18-301-00109,28.333333333333332,2025_06
18-301-00110,28.0,2025_06
18-301-00111,28.666666666666668,2025_06
18-301-00112,31.0,2025_06
18-301-00113,26.0,2025_06
18-301-00114,26.75,2025_06
18-302-00115,27.375,2025_06
18-302-00116,28.75,2025_06
18-302-00117,28.5,2025_06
18-302-00118,28.666666666666668,2025_06
18-302-00119,37.666666666666664,2025_06
18-303-00120,29.25,2025_06
18-303-00121,28.571428571428573,2025_06
18-303-00122,27.6,2025_06
18-303-00123,27.666666666666668,2025_06
18-799-00124,24.0,2025_06
18-799-00125,,2025_06
18-304-00126,28.0,2025_06
18-304-00127,29.5,2025_06
18-304-00128,32.4,2025_06
18-304-00129,32.0,2025_06
18-305-00130,36.6,2025_06
18-305-00131,32.4,2025_06
18-305-00132,32.5,2025_06
18-305-00133,31.6,2025_06
18-305-00134,31.4,2025_06
18-305-00135,30.2,2025_06
18-305-00136,30.2,2025_06
18-306-00137,38.529411764705884,2025_06
18-306-00138,36.214285714285715,2025_06
18-306-00139,33.166666666666664,2025_06
18-306-00140,39.22222222222222,2025_06
18-307-00141,31.8,2025_06
18-307-00142,38.4,2025_06
18-307-00143,32.8,2025_06
18-307-00144,33.42857142857143,2025_06
18-307-00145,31.625,2025_06
18-307-00146,33.42857142857143,2025_06
18-307-00147,39.25,2025_06
18-308-00148,,2025_06
18-308-00149,34.5,2025_06
18-308-00150,34.166666666666664,2025_06
18-308-00151,32.666666666666664,2025_06
18-308-00152,33.63636363636363,2025_06
18-308-00153,39.2,2025_06
18-309-00154,34.916666666666664,2025_06
18-309-00155,31.785714285714285,2025_06
18-309-00156,34.92857142857143,2025_06
18-309-00157,32.88235294117647,2025_06
18-310-00158,35.81818181818182,2025_06
18-310-00159,34.166666666666664,2025_06
18-310-00160,36.625,2025_06
18-310-00161,36.0,2025_06
18-310-00162,36.8,2025_06
18-310-00163,34.25,2025_06
18-310-00164,32.42857142857143,2025_06
18-311-00165,35.166666666666664,2025_06
18-311-00166,33.333333333333336,2025_06
18-311-00167,28.6,2025_06
18-311-00168,34.25,2025_06
18-312-00169,30.8,2025_06
18-312-00170,30.833333333333332,2025_06
18-312-00171,30.375,2025_06
18-313-00172,37.36363636363637,2025_06
18-313-00173,33.6,2025_06
18-313-00174,31.8,2025_06
18-313-00175,32.2,2025_06
18-313-00176,34.0,2025_06
18-313-00177,31.545454545454547,2025_06
18-314-00178,32.94117647058823,2025_06
18-314-00179,32.68181818181818,2025_06
18-315-00180,29.043478260869566,2025_06
18-315-00181,25.4,2025_06
18-315-00182,25.333333333333332,2025_06
18-315-00183,25.46153846153846,2025_06
18-316-00184,24.3,2025_06
18-316-00185,22.636363636363637,2025_06
18-316-00186,24.5,2025_06
18-316-00187,22.923076923076923,2025_06
18-316-00188,25.666666666666668,2025_06
18-317-00189,24.5,2025_06
18-317-00190,22.333333333333332,2025_06
18-317-00191,21.8,2025_06
18-317-00192,19.6,2025_06
18-317-00193,20.666666666666668,2025_06
18-318-00194,24.0,2025_06
18-318-00195,23.5,2025_06
18-318-00196,19.833333333333332,2025_06
18-318-00197,20.3,2025_06
18-319-00198,27.5,2025_06
18-319-00199,28.666666666666668,2025_06
18-319-00200,28.6,2025_06
18-319-00201,27.5,2025_06
18-319-00202,28.0,2025_06
18-320-00203,29.0,2025_06
18-320-00204,,2025_06
18-320-00205,35.1,2025_06
18-320-00206,33.0,2025_06
18-320-00207,32.27272727272727,2025_06
18-321-00208,32.0,2025_06
18-321-00209,32.0,2025_06
18-321-00210,32.666666666666664,2025_06
18-321-00211,31.714285714285715,2025_06
18-321-00212,34.857142857142854,2025_06
18-321-00213,30.5,2025_06
18-321-00214,31.0,2025_06
18-321-00215,30.333333333333332,2025_06
18-321-00216,39.714285714285715,2025_06
18-321-00217,36.0,2025_06
18-321-00218,36.0,2025_06
18-322-00219,34.0,2025_06
18-322-00220,35.75,2025_06
18-322-00221,36.0,2025_06
18-323-00222,27.0,2025_06
18-323-00223,27.666666666666668,2025_06
18-323-00224,28.333333333333332,2025_06
18-323-00225,31.0,2025_06
18-323-00226,31.0,2025_06
18-323-00227,29.0,2025_06
18-323-00228,32.0,2025_06
18-324-00260,29.25,2025_06
18-323-00230,,2025_06
18-324-00231,33.142857142857146,2025_06
18-324-00232,27.0,2025_06
18-324-00233,18.666666666666668,2025_06
18-324-00234,26.0,2025_06
18-816-00235,,2025_06
18-816-00236,,2025_06
18-325-00237,,2025_06
18-325-00238,34.0,2025_06
18-325-00239,32.833333333333336,2025_06
18-326-00240,35.0,2025_06
18-326-00241,40.5,2025_06
18-326-00242,,2025_06
